Governance type,Type key,Treated events,AI disclosure,AI disclosure N,Post-hoc query burden count,Mechanism N,Post-hoc query burden any,PR-only burden count,PR-only N
披露要求型,disclosure_requirement,79,0.0776*** (0.0171),"29,099",-0.1415** (0.0608),"19,316",-0.0413** (0.0169),-0.1906* (0.1086),"10,418"
人工责任型,human_responsibility,78,0.0590*** (0.0164),"29,420",-0.1121** (0.0535),"19,378",-0.0345* (0.0175),-0.1618* (0.0850),"10,353"
验证测试型,verification_testing,28,0.0321 (0.0253),"10,225",-0.0404 (0.0787),"6,696",-0.0103 (0.0260),0.0454 (0.1203),"3,609"
限制禁止型,restriction_or_ban,74,0.0722*** (0.0221),"25,900",-0.1147* (0.0678),"17,435",-0.0322 (0.0209),-0.1567 (0.1092),"9,238"
流程模板型,process_template,43,0.1514*** (0.0365),"15,567",-0.1370 (0.0958),"10,393",-0.0437* (0.0238),-0.2548 (0.1748),"5,617"
