mode,mechanism_family,mechanism_family_cn,outcome_kind,subset,model_family,spec,treated_x_post_coef,cluster_se,t_stat,p_value,stars,n,clusters,y_mean,treated_pre_mean,treated_post_mean,control_pre_mean,control_post_mean,ppml_pct_effect,convergence
primary_secondary,post_hoc_query_burden,事后追问负担,count,all,ols_lpm,event_fe,-0.11594873850620391,0.04832651543530698,-2.3992778594066118,0.01794066424589662,**,29539,123,0.36595687057788007,0.5505146778497904,0.3814638027048528,0.36900869287821997,0.31863778133692994,,
primary_secondary,post_hoc_query_burden,事后追问负担,count,all,ppml,event_fe,-0.21276794700569557,0.10662546633033035,-1.9954702598582892,0.048219549892357445,**,29539,123,0.36595687057788007,0.5505146778497904,0.3814638027048528,0.36900869287821997,0.31863778133692994,-0.1916563059712867,converged
primary_secondary,post_hoc_query_burden,事后追问负担,any,all,ols_lpm,event_fe,-0.03576310520085535,0.01476622051004086,-2.4219538897266806,0.01690831187552261,**,29539,123,0.18585598700023698,0.26877621044605415,0.21280827366746222,0.1832682032059973,0.16454522464806542,,
primary_secondary,post_hoc_query_burden,事后追问负担,count,all,ols_lpm,event_fe_controls,-0.11205177524637439,0.04758169749093753,-2.354934379289766,0.020122147866283215,**,29539,123,0.36595687057788007,0.5505146778497904,0.3814638027048528,0.36900869287821997,0.31863778133692994,,
primary_secondary,post_hoc_query_burden,事后追问负担,count,all,ppml,event_fe_controls,-0.19133453792582733,0.10847796302624632,-1.7638102024420739,0.08026714243729619,*,29539,123,0.36595687057788007,0.5505146778497904,0.3814638027048528,0.36900869287821997,0.31863778133692994,-0.17414373830788732,converged
primary_secondary,post_hoc_query_burden,事后追问负担,any,all,ols_lpm,event_fe_controls,-0.03432580242177291,0.01426736984813562,-2.4058956056472045,0.017633755097792973,**,29539,123,0.18585598700023698,0.26877621044605415,0.21280827366746222,0.1832682032059973,0.16454522464806542,,
primary_secondary,post_hoc_query_burden,事后追问负担,count,pr,ols_lpm,event_fe,-0.16653324967686878,0.08092740365544354,-2.0578103603311013,0.04173858049205276,**,15819,123,0.3584297363929452,0.6220302375809935,0.4016454749439043,0.3515215110178384,0.29959514170040485,,
primary_secondary,post_hoc_query_burden,事后追问负担,count,pr,ppml,event_fe,-0.27248573253724384,0.16397774315215774,-1.6617238858105254,0.09913568274984338,*,15819,123,0.3584297363929452,0.6220302375809935,0.4016454749439043,0.3515215110178384,0.29959514170040485,-0.23851570645350084,converged
primary_secondary,post_hoc_query_burden,事后追问负担,any,pr,ols_lpm,event_fe,-0.03647538282799906,0.018250058411131836,-1.9986447169807673,0.0478699635653124,**,15819,123,0.14381440040457677,0.24046076313894887,0.19222139117427076,0.13341328136711136,0.12363749610713173,,
primary_secondary,post_hoc_query_burden,事后追问负担,count,pr,ols_lpm,event_fe_controls,-0.15435647925913842,0.0797034622631556,-1.936634556093714,0.0551022885254304,*,15819,123,0.3584297363929452,0.6220302375809935,0.4016454749439043,0.3515215110178384,0.29959514170040485,,
primary_secondary,post_hoc_query_burden,事后追问负担,count,pr,ppml,event_fe_controls,-0.2064370845393133,0.1657769367667197,-1.2452702321904423,0.2154189123315355,,15819,123,0.3584297363929452,0.6220302375809935,0.4016454749439043,0.3515215110178384,0.29959514170040485,-0.1865225598451159,converged
primary_secondary,post_hoc_query_burden,事后追问负担,any,pr,ols_lpm,event_fe_controls,-0.03048764098466606,0.016901031401665847,-1.8038923341483795,0.07371565386623069,*,15819,123,0.14381440040457677,0.24046076313894887,0.19222139117427076,0.13341328136711136,0.12363749610713173,,
primary_secondary,post_hoc_query_burden,事后追问负担,count,issue,ols_lpm,event_fe,-0.0655812483106214,0.0466386594116119,-1.4061563762335167,0.16221959985642057,,13720,123,0.3746355685131195,0.4700162074554295,0.35853865760407816,0.3888888888888889,0.3411137658518655,,
primary_secondary,post_hoc_query_burden,事后追问负担,count,issue,ppml,event_fe,-0.14473756097724833,0.11858548436632584,-1.2205335395868129,0.22461650552730733,,13720,123,0.3746355685131195,0.4700162074554295,0.35853865760407816,0.3888888888888889,0.3411137658518655,-0.13475066149251347,converged
primary_secondary,post_hoc_query_burden,事后追问负担,any,issue,ols_lpm,event_fe,-0.03822050914305525,0.022374230373447056,-1.7082379373555567,0.09013535581082069,*,13720,123,0.23432944606413994,0.3006482982171799,0.23619371282922685,0.23994546693933197,0.2128285241683514,,
