Mechanism family,Chinese label,Subset,Count OLS,Count PPML,Any LPM,Treated pre count,Treated post count,Control pre count,Control post count,N
Post-hoc query burden,事后追问负担,all,-0.1121** (0.0476),-0.1913* (0.1085),-0.0343** (0.0143),0.551,0.381,0.369,0.319,"29,539"
Post-hoc query burden,事后追问负担,pr,-0.1544* (0.0797),-0.2064 (0.1658),-0.0305* (0.0169),0.622,0.402,0.352,0.300,"15,819"
Post-hoc query burden,事后追问负担,issue,-0.0677 (0.0457),-0.1373 (0.1164),-0.0391* (0.0220),0.470,0.359,0.389,0.341,"13,720"
Quality-assurance work,质量保障审查,all,-0.0146 (0.0951),-0.0057 (0.2035),-0.0250** (0.0125),0.485,0.444,0.338,0.324,"29,539"
Quality-assurance work,质量保障审查,pr,0.0556 (0.1793),0.1480 (0.2876),-0.0295* (0.0170),0.588,0.590,0.395,0.367,"15,819"
Quality-assurance work,质量保障审查,issue,-0.0931** (0.0396),-0.2898** (0.1269),-0.0204 (0.0188),0.369,0.279,0.274,0.272,"13,720"
Coordination and boundary work,协调与边界判断,all,-0.0548 (0.0438),-0.1147 (0.1240),-0.0270* (0.0156),0.417,0.330,0.276,0.249,"29,539"
Coordination and boundary work,协调与边界判断,pr,-0.0436 (0.0720),-0.0743 (0.2089),-0.0231 (0.0164),0.395,0.322,0.240,0.220,"15,819"
Coordination and boundary work,协调与边界判断,issue,-0.0735* (0.0392),-0.1734 (0.1098),-0.0350 (0.0245),0.442,0.340,0.318,0.282,"13,720"
